time,price,return
2013/1/4,28.78,0.984604858
2013/1/7,29.13,1.012161223
2013/1/8,30.22,1.037418469
2013/1/9,31.24,1.033752482
2013/1/10,30.89,0.988796415
2013/1/11,29.62,0.958886371
2013/1/14,30.54,1.031060095
2013/1/15,31.19,1.021283563
2013/1/16,30.96,0.992625842
2013/1/17,30.76,0.993540052
2013/1/18,30.81,1.001625488
2013/1/21,30.64,0.994482311
2013/1/22,29.77,0.971605744
2013/1/23,29.5,0.990930467
2013/1/24,28.95,0.981355932
2013/1/25,28.76,0.99343696
2013/1/28,29.28,1.018080668
2013/1/29,29.9,1.021174863
2013/1/30,30.86,1.032107023
2013/1/31,29.97,0.971160078
2013/2/1,29.85,0.995995996
2013/2/4,29.3,0.981574539
2013/2/5,29.47,1.005802048
2013/2/6,29.6,1.004411266
2013/2/7,29.6,1
2013/2/8,30.05,1.015202703
2013/2/18,30.19,1.004658902
2013/2/19,29.4,0.973832395
2013/2/20,32.35,1.100340136
2013/2/21,34.39,1.063060278
2013/2/22,33.47,0.973248037
2013/2/25,33.34,0.996115925
2013/2/26,32.03,0.960707858
2013/2/27,31.61,0.986887293
2013/2/28,31.93,1.010123379
2013/3/1,32.4,1.014719699
2013/3/4,30.59,0.944135802
2013/3/5,31.58,1.032363517
2013/3/6,32.85,1.040215326
2013/3/7,32.25,0.98173516
2013/3/8,31.98,0.991627907
2013/3/11,32.05,1.002188868
2013/3/12,33.17,1.034945398
2013/3/13,31.78,0.958094664
2013/3/14,30.99,0.975141598
2013/3/15,30.62,0.988060665
2013/3/18,29.4,0.96015676
2013/3/19,29.05,0.988095238
2013/3/20,29.8,1.025817556
2013/3/21,30.02,1.00738255
2013/3/22,30.57,1.018321119
2013/3/25,30.24,0.989205103
2013/3/26,33.27,1.100198413
2013/3/27,32.63,0.980763451
2013/3/28,33.27,1.019613852
2013/3/29,33.67,1.012022843
2013/4/1,33.22,0.986634987
2013/4/2,32.48,0.977724262
2013/4/3,29.62,0.911945813
2013/4/8,28.53,0.96320054
2013/4/9,28.53,1
2013/4/10,28.98,1.015772871
2013/4/11,28.71,0.99068323
2013/4/12,29.8,1.037965866
2013/4/15,29,0.973154362
2013/4/16,28.83,0.994137931
2013/4/17,29.23,1.013874436
2013/4/18,28.8,0.985289087
2013/4/19,29.3,1.017361111
2013/4/22,30.49,1.040614334
2013/4/23,29.03,0.952115448
2013/4/24,31.93,1.099896659
2013/4/25,31.86,0.997807704
2013/4/26,31.24,0.980539862
2013/5/2,31.83,1.018886044
2013/5/3,32.08,1.007854226
2013/5/6,32.33,1.007793017
2013/5/7,33.2,1.026909991
2013/5/8,33.2,1
2013/5/9,32.23,0.970783133
2013/5/10,33.44,1.037542662
2013/5/13,33.12,0.990430622
2013/5/14,32.23,0.973128019
2013/5/15,33.12,1.027614024
2013/5/16,34.16,1.031400966
2013/5/17,34.76,1.017564403
2013/5/20,35.21,1.012945915
2013/5/21,35.43,1.006248225
2013/5/22,34.51,0.974033305
2013/5/23,34.26,0.992755723
2013/5/24,34.86,1.017513135
2013/5/27,37.76,1.083189902
2013/5/28,37.59,0.995497881
2013/5/29,37.86,1.007182761
2013/5/30,38.46,1.015847861
2013/5/31,37.07,0.963858554
2013/6/3,36.99,0.997841921
2013/6/4,36.6,0.98945661
2013/6/5,36.94,1.009289617
2013/6/6,34.71,0.939631835
2013/6/7,33.37,0.961394411
2013/6/13,32.5,0.973928678
2013/6/14,33.17,1.020615385
2013/6/17,33.79,1.018691589
2013/6/18,33.84,1.001479728
2013/6/19,33.44,0.988179669
2013/6/20,32.01,0.957236842
2013/6/21,31.22,0.975320212
2013/6/24,28.98,0.928251121
2013/6/25,29.24,1.008971705
2013/6/26,29.26,1.000683995
2013/6/27,28.5,0.974025974
2013/6/28,28.07,0.984912281
2013/7/1,28.19,1.004275027
2013/7/2,28.5,1.010996807
2013/7/3,27.46,0.963508772
2013/7/4,27.84,1.01383831
2013/7/5,27.89,1.001795977
2013/7/8,25.15,0.901756902
2013/7/9,24.64,0.97972167
2013/7/10,25.27,1.025568182
2013/7/11,26.39,1.04432133
2013/7/12,25.73,0.974990527
2013/7/15,27.05,1.051301982
2013/7/16,27.92,1.032162662
2013/7/17,27.13,0.971704871
2013/7/18,26.72,0.984887578
2013/7/19,25.63,0.959206587
2013/7/22,26.14,1.019898556
2013/7/23,27.48,1.051262433
2013/7/24,27.41,0.997452693
2013/7/25,26.85,0.9795695
2013/7/26,27.38,1.019739292
2013/7/29,27.66,1.010226443
2013/7/30,28.45,1.028561099
2013/7/31,28.25,0.992970123
2013/8/1,28.7,1.015929204
2013/8/2,28.4,0.989547038
2013/8/5,29.16,1.026760563
2013/8/6,29.16,1
2013/8/7,28.65,0.982510288
2013/8/8,28.45,0.993019197
2013/8/9,28.5,1.001757469
2013/8/12,29.16,1.023157895
2013/8/13,29.72,1.01920439
2013/8/14,29.16,0.98115747
2013/8/15,28.58,0.980109739
2013/8/16,27.94,0.977606718
2013/8/19,28.37,1.015390122
2013/8/20,27.99,0.986605569
2013/8/21,28.5,1.018220793
2013/8/22,28.86,1.012631579
2013/8/23,28.86,1
2013/8/26,30.43,1.054400554
2013/8/27,31.5,1.035162668
2013/8/28,31.04,0.985396825
2013/8/29,31.88,1.027061856
2013/8/30,32.13,1.007841907
2013/9/2,32.74,1.018985372
2013/9/3,32.87,1.003970678
2013/9/4,34.01,1.034682081
2013/9/5,35.71,1.049985298
2013/9/6,35.15,0.984318118
2013/9/9,35.23,1.00227596
2013/9/10,35.21,0.999432302
2013/9/11,34.95,0.992615734
2013/9/12,35,1.001430615
2013/9/13,36.02,1.029142857
2013/9/16,36.07,1.001388118
2013/9/17,35.13,0.973939562
2013/9/18,36.02,1.025334472
2013/9/23,36.22,1.005552471
2013/9/24,36.32,1.002760906
2013/9/25,37.54,1.033590308
2013/9/26,35.69,0.950719233
2013/9/27,35.18,0.985710283
2013/9/30,35.43,1.00710631
2013/10/8,35.81,1.010725374
2013/10/9,35.28,0.985199665
2013/10/10,34.29,0.971938776
2013/10/11,35.23,1.02741324
2013/10/14,35.99,1.021572523
2013/10/15,36.96,1.026951931
2013/10/16,35.56,0.962121212
2013/10/17,36.45,1.025028121
2013/10/18,36.63,1.004938272
2013/10/21,39.88,1.088725089
2013/10/22,40.97,1.027331996
2013/10/23,39.24,0.957773981
2013/10/24,38.61,0.983944954
2013/10/25,38.56,0.998704999
2013/10/28,39.32,1.019709544
2013/10/29,35.99,0.915310275
2013/10/30,36.45,1.012781328
2013/10/31,37.01,1.015363512
2013/11/1,36.63,0.989732505
2013/11/4,36.83,1.005460005
2013/11/5,36.75,0.997827858
2013/11/6,36.09,0.982040816
2013/11/7,36.07,0.99944583
2013/11/8,35.56,0.985860826
2013/11/11,35.71,1.004218223
2013/11/12,35.51,0.994399328
2013/11/13,34.72,0.977752746
2013/11/14,35.51,1.022753456
2013/11/15,35.81,1.008448324
2013/11/18,36.53,1.020106116
2013/11/19,38.1,1.042978374
2013/11/20,38,0.997375328
2013/11/21,37.59,0.989210526
2013/11/22,37.77,1.004788508
2013/11/25,36.65,0.970346836
2013/11/26,36.6,0.998635744
2013/11/27,37.16,1.015300546
2013/11/28,37.8,1.01722282
2013/11/29,37.87,1.001851852
2013/12/2,35.59,0.939794032
2013/12/3,36.58,1.027816802
2013/12/4,38.2,1.044286495
2013/12/5,38.43,1.006020942
2013/12/6,37.59,0.978142077
2013/12/9,38.63,1.027666933
2013/12/10,39.63,1.025886617
2013/12/11,39.32,0.992177643
2013/12/12,39.45,1.003306205
2013/12/13,40.62,1.029657795
2013/12/16,39.63,0.97562777
2013/12/17,37.85,0.955084532
2013/12/18,38.38,1.014002642
2013/12/19,38.1,0.992704534
2013/12/20,37.64,0.987926509
2013/12/23,36.58,0.97183847
2013/12/24,37.21,1.017222526
2013/12/25,37.95,1.019887127
2013/12/26,36.15,0.95256917
2013/12/27,37.19,1.028769018
2013/12/30,37.62,1.011562248
2013/12/31,37.39,0.993886231
2014/1/2,37.82,1.011500401
2014/1/3,36.81,0.973294553
2014/1/6,35.05,0.952186906
2014/1/7,36.91,1.053067047
2014/1/8,36.7,0.994310485
2014/1/9,35.56,0.96893733
2014/1/10,34.6,0.973003375
2014/1/13,34.95,1.010115607
2014/1/14,35.51,1.01602289
2014/1/15,35.51,1
2014/1/16,35.54,1.000844832
2014/1/17,35.28,0.992684299
2014/1/20,34.57,0.979875283
2014/1/21,35.18,1.017645357
2014/1/22,35.81,1.017907902
2014/1/23,36.22,1.011449316
2014/1/24,37.24,1.028161237
2014/1/27,36.4,0.977443609
2014/1/28,38.23,1.050274725
2014/1/29,37.82,0.989275438
2014/1/30,38.74,1.024325754
2014/2/7,39.12,1.009808983
2014/2/10,39.78,1.016871166
2014/2/11,39.09,0.9826546
2014/2/12,39.5,1.010488616
2014/2/13,39.14,0.990886076
2014/2/14,39.29,1.003832397
2014/2/17,40.46,1.02977857
2014/2/18,41.15,1.01705388
2014/2/19,40.51,0.984447145
2014/2/20,39.07,0.964453221
2014/2/21,38.96,0.997184541
2014/2/24,38.84,0.996919918
2014/2/25,37.09,0.954943357
2014/2/26,37.29,1.005392289
2014/2/27,36.07,0.967283454
2014/2/28,36.75,1.018852232
2014/3/3,37.59,1.022857143
2014/3/4,37.69,1.002660282
2014/3/5,37.44,0.993366941
2014/3/6,36.93,0.986378205
2014/3/7,37.21,1.007581912
2014/3/10,35.41,0.951625907
2014/3/11,35.36,0.99858797
2014/3/12,35.87,1.014423077
2014/3/13,36.02,1.004181767
2014/3/14,35.97,0.998611882
2014/3/17,36.32,1.009730331
2014/3/18,36.09,0.993667401
2014/3/19,35.76,0.990856193
2014/3/20,35.81,1.00139821
2014/3/21,36.45,1.017872103
2014/3/24,36.6,1.004115226
2014/3/25,36.75,1.004098361
2014/3/26,37.03,1.007619048
2014/3/27,35.87,0.968674048
2014/3/28,35.31,0.984388068
2014/3/31,34.9,0.988388558
2014/4/1,35.66,1.021776504
2014/4/2,35.28,0.989343803
2014/4/3,35.56,1.007936508
2014/4/4,35.87,1.00871766
2014/4/8,36.3,1.011987733
2014/4/9,36.5,1.005509642
2014/4/10,36.4,0.997260274
2014/4/11,36.45,1.001373626
2014/4/14,37.92,1.040329218
2014/4/15,37.67,0.993407173
2014/4/16,38.94,1.033713831
2014/4/17,38.91,0.999229584
2014/4/18,39.4,1.012593164
2014/4/21,38.69,0.981979695
2014/4/22,39.4,1.018350995
2014/4/23,39.09,0.99213198
2014/4/24,40.01,1.023535431
2014/4/25,38.2,0.95476131
2014/4/28,35.84,0.938219895
2014/4/29,36.53,1.019252232
2014/4/30,36.75,1.006022447
2014/5/5,36.78,1.000816327
